ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.19999998807907,5.5,-3.45000004768372,-0.80000001192093,-1.45000004768372,-3.50500011444092,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4913101196289,1.16373014450073,-1.08232474327087,"(11.49131, 1.16373, -1.082325)",truck body CS,17.1036815643311,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
1,left road,1,-3.40499997138977,0.19999998807907,5.5,-3.34999990463257,-0.80000001192093,-1.45000004768372,-3.40499997138977,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4914274215698,1.1634738445282,-1.08057403564453,"(11.49143, 1.163474, -1.080574)",truck body CS,17.0123195648193,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
2,left road,2,-3.3050000667572,0.19999998807907,5.5,-3.25,-0.80000001192093,-1.45000004768372,-3.3050000667572,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4917154312134,1.16322529315948,-1.07887589931488,"(11.49172, 1.163225, -1.078876)",truck body CS,16.9210567474365,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
3,left road,3,-3.20500016212463,0.19999998807907,5.5,-3.15000009536743,-0.80000001192093,-1.45000004768372,-3.20500016212463,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4920625686646,1.16297721862793,-1.07718229293823,"(11.49206, 1.162977, -1.077182)",truck body CS,16.829891204834,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
4,left road,4,-3.10500001907349,0.19999998807907,5.5,-3.04999995231628,-0.80000001192093,-1.45000004768372,-3.10500001907349,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4923858642578,1.16272449493408,-1.07545566558838,"(11.49239, 1.162724, -1.075456)",truck body CS,16.7388286590576,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
5,left road,5,-3.00500011444092,0.19999998807907,5.5,-2.95000004768372,-0.80000001192093,-1.45000004768372,-3.00500011444092,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4927091598511,1.16246843338013,-1.07370698451996,"(11.49271, 1.162468, -1.073707)",truck body CS,16.6478691101074,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
6,left road,6,-2.90499997138977,0.19999998807907,5.5,-2.84999990463257,-0.80000001192093,-1.45000004768372,-2.90499997138977,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4930486679077,1.16220998764038,-1.07194125652313,"(11.49305, 1.16221, -1.071941)",truck body CS,16.5570125579834,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
7,left road,7,-2.8050000667572,0.19999998807907,5.5,-2.75,-0.80000001192093,-1.45000004768372,-2.8050000667572,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4822750091553,1.16120028495789,-1.06504607200623,"(11.48228, 1.1612, -1.065046)",truck body CS,16.4662628173828,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
8,left road,8,-2.70500016212463,0.19999998807907,5.5,-2.65000009536743,-0.80000001192093,-1.45000004768372,-2.70500016212463,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4822378158569,1.16090440750122,-1.06302404403687,"(11.48224, 1.160904, -1.063024)",truck body CS,16.375617980957,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
9,left road,9,-2.60500001907349,0.19999998807907,5.5,-2.54999995231628,-0.80000001192093,-1.45000004768372,-2.60500001907349,0.19999998807907,5.5,12.1293840408325,1.20473575592041,-1.3623948097229,11.4821901321411,1.16060352325439,-1.06096982955933,"(11.48219, 1.160604, -1.06097)",truck body CS,16.2850856781006,0.1,12.1293840408325,1.20473575592041,-1.3623948097229,0.00071473615981,90.093118473433,0.00000134012809
