ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.63737869262695,0.48930323123932,5.30709791183472,"(-2.637379, 0.489303, 5.307098)",truck body CS,2.49815917015076,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.6372766494751,0.45422744750977,5.32092618942261,"(-2.637277, 0.454227, 5.320926)",truck body CS,2.41320133209229,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.63384008407593,0.41760325431824,5.335364818573,"(-2.63384, 0.417603, 5.335365)",truck body CS,2.32943868637085,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.62239050865173,0.38224738836288,5.34930372238159,"(-2.622391, 0.382247, 5.349304)",truck body CS,2.24700427055359,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.61879110336304,0.33737200498581,5.36699485778809,"(-2.618791, 0.337372, 5.366995)",truck body CS,2.16604948043823,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.6236047744751,0.28081703186035,5.38929128646851,"(-2.623605, 0.280817, 5.389291)",truck body CS,2.08674716949463,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.55430150032043,0.2750232219696,5.3915753364563,"(-2.554302, 0.275023, 5.391575)",truck body CS,2.00929260253906,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.47712993621826,0.27502262592316,5.3915753364563,"(-2.47713, 0.275023, 5.391575)",truck body CS,1.93390798568726,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.39997458457947,0.27500718832016,5.39158153533936,"(-2.399975, 0.275007, 5.391582)",truck body CS,1.86084473133087,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,-1.36871540546417,1.20477795600891,5.0250301361084,-2.3228120803833,0.27499651908875,5.39158582687378,"(-2.322812, 0.274997, 5.391586)",truck body CS,1.7903870344162,0.1,-1.36871540546417,1.20477795600891,5.0250301361084,0.00023854526348,179.891145453965,-0.00000632437452
