ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.09999999403954,5.5,-3.45000004768372,-0.40000000596046,-1.45000004768372,-3.50500011444092,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.82998991012573,1.19892299175262,-1.30123090744019,"(5.82999, 1.198923, -1.301231)",EyeArea,11.6638259887695,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
1,left road,1,-3.40499997138977,0.09999999403954,5.5,-3.34999990463257,-0.40000000596046,-1.45000004768372,-3.40499997138977,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.82999277114868,1.19886016845703,-1.30084180831909,"(5.829993, 1.19886, -1.300842)",EyeArea,11.5835189819336,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
2,left road,2,-3.3050000667572,0.09999999403954,5.5,-3.25,-0.40000000596046,-1.45000004768372,-3.3050000667572,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.82999563217163,1.19879627227783,-1.30044651031494,"(5.829996, 1.198796, -1.300447)",EyeArea,11.5035190582275,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
3,left road,3,-3.20500016212463,0.09999999403954,5.5,-3.15000009536743,-0.40000000596046,-1.45000004768372,-3.20500016212463,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.82999849319458,1.19873058795929,-1.30003929138184,"(5.829998, 1.198731, -1.300039)",EyeArea,11.4238357543945,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
4,left road,4,-3.10500001907349,0.09999999403954,5.5,-3.04999995231628,-0.40000000596046,-1.45000004768372,-3.10500001907349,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83000135421753,1.19866371154785,-1.29962599277496,"(5.830001, 1.198664, -1.299626)",EyeArea,11.3444719314575,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
5,left road,5,-3.00500011444092,0.09999999403954,5.5,-2.95000004768372,-0.40000000596046,-1.45000004768372,-3.00500011444092,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83000421524048,1.19859528541565,-1.29920303821564,"(5.830004, 1.198595, -1.299203)",EyeArea,11.265438079834,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
6,left road,6,-2.90499997138977,0.09999999403954,5.5,-2.84999990463257,-0.40000000596046,-1.45000004768372,-2.90499997138977,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83000755310059,1.19852519035339,-1.29876911640167,"(5.830008, 1.198525, -1.298769)",EyeArea,11.1867399215698,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
7,left road,7,-2.8050000667572,0.09999999403954,5.5,-2.75,-0.40000000596046,-1.45000004768372,-2.8050000667572,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83001041412354,1.19845354557037,-1.29832518100739,"(5.83001, 1.198454, -1.298325)",EyeArea,11.1083850860596,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
8,left road,8,-2.70500016212463,0.09999999403954,5.5,-2.65000009536743,-0.40000000596046,-1.45000004768372,-2.70500016212463,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83001375198364,1.19838035106659,-1.29787218570709,"(5.830014, 1.19838, -1.297872)",EyeArea,11.0303802490234,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
9,left road,9,-2.60500001907349,0.09999999403954,5.5,-2.54999995231628,-0.40000000596046,-1.45000004768372,-2.60500001907349,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83001708984375,1.19830536842346,-1.29740822315216,"(5.830017, 1.198305, -1.297408)",EyeArea,10.9527311325073,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
10,left road,10,-2.50500011444092,0.09999999403954,5.5,-2.45000004768372,-0.40000000596046,-1.45000004768372,-2.50500011444092,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83002042770386,1.19822859764099,-1.29693329334259,"(5.83002, 1.198229, -1.296933)",EyeArea,10.8754472732544,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
11,left road,11,-2.40499997138977,0.09999999403954,5.5,-2.34999990463257,-0.40000000596046,-1.45000004768372,-2.40499997138977,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83002376556396,1.1981498003006,-1.29644560813904,"(5.830024, 1.19815, -1.296446)",EyeArea,10.7985382080078,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
12,left road,12,-2.3050000667572,0.09999999403954,5.5,-2.25,-0.40000000596046,-1.45000004768372,-2.3050000667572,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.83002758026123,1.19806957244873,-1.29594826698303,"(5.830028, 1.19807, -1.295948)",EyeArea,10.7220087051392,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
13,left road,13,-2.20500016212463,0.09999999403954,5.5,-2.15000009536743,-0.40000000596046,-1.45000004768372,-2.20500016212463,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30340099334717,1.12602293491364,-0.85005247592926,"(5.303401, 1.126023, -0.850052)",truck body CS,10.6458692550659,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
14,left road,14,-2.10500001907349,0.09999999403954,5.5,-2.04999995231628,-0.40000000596046,-1.45000004768372,-2.10500001907349,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30250453948975,1.12491250038147,-0.84317994117737,"(5.302505, 1.124913, -0.84318)",truck body CS,10.5701265335083,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
15,left road,15,-2.00500011444092,0.09999999403954,5.5,-1.95000004768372,-0.40000000596046,-1.45000004768372,-2.00500011444092,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30263805389404,1.12391829490662,-0.83702701330185,"(5.302638, 1.123918, -0.837027)",truck body CS,10.4947910308838,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
16,left road,16,-1.90499997138977,0.09999999403954,5.5,-1.85000002384186,-0.40000000596046,-1.45000004768372,-1.90499997138977,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30423212051392,1.12310588359833,-0.83199870586395,"(5.304232, 1.123106, -0.831999)",truck body CS,10.4198703765869,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
17,left road,17,-1.80499994754791,0.09999999403954,5.5,-1.75,-0.40000000596046,-1.45000004768372,-1.80499994754791,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30585813522339,1.1222767829895,-0.82686758041382,"(5.305858, 1.122277, -0.826868)",truck body CS,10.3453731536865,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
18,left road,18,-1.70499992370605,0.09999999403954,5.5,-1.64999997615814,-0.40000000596046,-1.45000004768372,-1.70499992370605,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.3075156211853,1.12143039703369,-0.82162988185883,"(5.307516, 1.12143, -0.82163)",truck body CS,10.2713088989258,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
19,left road,19,-1.6049998998642,0.09999999403954,5.5,-1.54999995231628,-0.40000000596046,-1.45000004768372,-1.6049998998642,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.30921077728271,1.12056708335876,-0.81628620624542,"(5.309211, 1.120567, -0.816286)",truck body CS,10.1976881027222,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
20,left road,20,-1.50499999523163,0.09999999403954,5.5,-1.45000004768372,-0.40000000596046,-1.45000004768372,-1.50499999523163,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.31094121932983,1.11968564987183,-0.81083106994629,"(5.310941, 1.119686, -0.810831)",truck body CS,10.1245203018188,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
21,left road,21,-1.40499997138977,0.09999999403954,5.5,-1.35000002384186,-0.40000000596046,-1.45000004768372,-1.40499997138977,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.31270456314087,1.11878490447998,-0.80525660514832,"(5.312705, 1.118785, -0.805257)",truck body CS,10.0518131256104,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
22,left road,22,-1.30499994754791,0.09999999403954,5.5,-1.25,-0.40000000596046,-1.45000004768372,-1.30499994754791,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.31450748443604,1.11786532402039,-0.7995645403862,"(5.314507, 1.117865, -0.799565)",truck body CS,9.97957992553711,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
23,left road,23,-1.20499992370605,0.09999999403954,5.5,-1.14999997615814,-0.40000000596046,-1.45000004768372,-1.20499992370605,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.31634950637817,1.11692571640015,-0.79375016689301,"(5.31635, 1.116926, -0.79375)",truck body CS,9.90782833099365,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
24,left road,24,-1.1049998998642,0.09999999403954,5.5,-1.04999995231628,-0.40000000596046,-1.45000004768372,-1.1049998998642,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.31823253631592,1.11596584320068,-0.78780907392502,"(5.318233, 1.115966, -0.787809)",truck body CS,9.83657073974609,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
25,left road,25,-1.00499999523163,0.09999999403954,5.5,-0.94999998807907,-0.40000000596046,-1.45000004768372,-1.00499999523163,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.32015609741211,1.1149845123291,-0.78173524141312,"(5.320156, 1.114985, -0.781735)",truck body CS,9.7658166885376,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
26,left road,26,-0.90500003099442,0.09999999403954,5.5,-0.85000002384186,-0.40000000596046,-1.45000004768372,-0.90500003099442,0.09999999403954,5.5,5.87973546981812,1.20477902889252,-1.33747363090515,5.32212352752686,1.11398136615753,-0.77552741765976,"(5.322124, 1.113981, -0.775527)",truck body CS,9.69557762145996,0.1,5.87973546981812,1.20477902889252,-1.33747363090515,-0.00001581455571,90.4039194014252,0.00000323543732
