ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.50079131126404,0.56226795911789,7.43327569961548,"(-2.500791, 0.562268, 7.433276)",truck body CS,4.82079267501831,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.45956683158875,0.55516016483307,7.40883684158325,"(-2.459567, 0.55516, 7.408837)",truck body CS,4.77699756622314,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.41679382324219,0.54828006029129,7.38518047332764,"(-2.416794, 0.54828, 7.38518)",truck body CS,4.7349100112915,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.37147378921509,0.5423139333725,7.36466693878174,"(-2.371474, 0.542314, 7.364667)",truck body CS,4.69457530975342,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.32362627983093,0.53740477561951,7.34778738021851,"(-2.323626, 0.537405, 7.347787)",truck body CS,4.65603923797607,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.27349710464478,0.53356570005417,7.33458709716797,"(-2.273497, 0.533566, 7.334587)",truck body CS,4.6193470954895,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.22222328186035,0.53012031316757,7.32274150848389,"(-2.222223, 0.53012, 7.322742)",truck body CS,4.58454322814941,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.16996598243713,0.52701640129089,7.31206846237183,"(-2.169966, 0.527016, 7.312068)",truck body CS,4.55167007446289,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.11668086051941,0.524369597435,7.30296802520752,"(-2.116681, 0.52437, 7.302968)",truck body CS,4.52077054977417,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,-1.35333013534546,1.20474421977997,9.64233589172363,-2.06283283233643,0.52184122800827,7.29427433013916,"(-2.062833, 0.521841, 7.294274)",truck body CS,4.4918851852417,0.1,-1.35333013534546,1.20474421977997,9.64233589172363,-0.00091529975184,-179.58233894121,-0.00000943044946
