Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
0,left_crosswalk,14.0307292938232,1.36437737941742,35700,29807,29788,5893,83.49299719887955,83.43977591036415,16.50700280112045
1,left_crosswalk,13.7619104385376,1.36425936222076,35700,28814,28805,6886,80.71148459383754,80.68627450980392,19.288515406162464
2,left_crosswalk,13.4850454330444,1.36407291889191,35700,27658,27658,8042,77.4733893557423,77.4733893557423,22.5266106442577
3,left_crosswalk,13.2165794372559,1.3638379573822,35700,26468,26447,9232,74.14005602240896,74.0812324929972,25.859943977591037
4,left_crosswalk,12.9446268081665,1.3635481595993,35700,25210,25192,10490,70.61624649859944,70.56582633053222,29.383753501400562
5,left_crosswalk,12.6728458404541,1.36321032047272,35700,23920,23911,11780,67.00280112044817,66.97759103641457,32.99719887955182
6,left_crosswalk,12.4012203216553,1.36282587051392,35700,22620,22620,13080,63.36134453781512,63.36134453781512,36.63865546218487
7,left_crosswalk,12.1293840408325,1.3623948097229,35700,21310,21306,14390,59.69187675070028,59.680672268907564,40.30812324929972
8,left_crosswalk,11.8571815490723,1.36191785335541,35700,20025,20025,15675,56.09243697478992,56.09243697478992,43.90756302521008
9,left_crosswalk,11.5859251022339,1.36139667034149,35700,18767,18757,16933,52.56862745098039,52.540616246498594,47.431372549019606
10,left_crosswalk,11.0423936843872,1.36021375656128,35700,16295,16295,19405,45.64425770308123,45.64425770308123,54.35574229691876
11,left_crosswalk,10.7703475952148,1.35955095291138,35700,15075,15075,20625,42.226890756302524,42.226890756302524,57.773109243697476
12,left_crosswalk,10.4932889938354,1.35882759094238,35700,13827,13825,21873,38.73109243697479,38.72549019607843,61.26890756302521
13,left_crosswalk,10.2268190383911,1.35808134078979,35700,12650,12650,23050,35.43417366946779,35.43417366946779,64.56582633053222
15,left_crosswalk,9.95505809783936,1.35727107524872,35700,11456,11456,24244,32.089635854341736,32.089635854341736,67.91036414565826
