Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
0,left_crosswalk,14.0307292938232,1.36437737941742,18900,14771,14770,4129,78.15343915343915,78.14814814814814,21.84656084656085
1,left_crosswalk,13.7619104385376,1.36425936222076,18900,14159,14159,4741,74.91534391534391,74.91534391534391,25.08465608465609
2,left_crosswalk,13.4850454330444,1.36407291889191,18900,13472,13472,5428,71.28042328042328,71.28042328042328,28.719576719576718
3,left_crosswalk,13.2165794372559,1.3638379573822,18900,12793,12790,6107,67.68783068783068,67.67195767195767,32.31216931216932
4,left_crosswalk,12.9446268081665,1.3635481595993,18900,12111,12111,6789,64.07936507936508,64.07936507936508,35.92063492063492
5,left_crosswalk,12.6728458404541,1.36321032047272,18900,11459,11459,7441,60.62962962962963,60.62962962962963,39.370370370370374
6,left_crosswalk,12.4012203216553,1.36282587051392,18900,10823,10823,8077,57.264550264550266,57.264550264550266,42.735449735449734
7,left_crosswalk,12.1293840408325,1.3623948097229,18900,10216,10216,8684,54.05291005291005,54.05291005291005,45.94708994708995
8,left_crosswalk,11.8571815490723,1.36191785335541,18900,9637,9637,9263,50.98941798941799,50.98941798941799,49.01058201058201
9,left_crosswalk,11.5859251022339,1.36139667034149,18900,9093,9092,9807,48.11111111111111,48.10582010582011,51.888888888888886
10,left_crosswalk,11.0423936843872,1.36021375656128,18900,8062,8062,10838,42.65608465608466,42.65608465608466,57.34391534391534
11,left_crosswalk,10.7703475952148,1.35955095291138,18900,7556,7556,11344,39.97883597883598,39.97883597883598,60.02116402116402
12,left_crosswalk,10.4932889938354,1.35882759094238,18900,7035,7035,11865,37.22222222222222,37.22222222222222,62.77777777777778
13,left_crosswalk,10.2268190383911,1.35808134078979,18900,6553,6553,12347,34.67195767195767,34.67195767195767,65.32804232804233
15,left_crosswalk,9.95505809783936,1.35727107524872,18900,6070,6070,12830,32.116402116402114,32.116402116402114,67.88359788359787
16,left_crosswalk,9.68338871002197,1.35640907287598,18900,5613,5613,13287,29.698412698412696,29.698412698412696,70.3015873015873
17,left_crosswalk,9.41161918640137,1.35549259185791,18900,5191,5188,13709,27.465608465608465,27.449735449735453,72.53439153439153
18,left_crosswalk,9.1399450302124,1.35452079772949,18900,4787,4787,14113,25.328042328042326,25.328042328042326,74.67195767195767
19,left_crosswalk,8.86820411682129,1.35349118709564,18900,4402,4402,14498,23.29100529100529,23.29100529100529,76.70899470899471
20,left_crosswalk,8.59651947021484,1.35240173339844,18900,4040,4040,14860,21.375661375661377,21.375661375661377,78.62433862433862
21,left_crosswalk,8.32479000091553,1.35124945640564,18900,3701,3694,15199,19.582010582010582,19.544973544973544,80.41798941798942
22,left_crosswalk,8.05310916900635,1.35003197193146,18900,3391,3391,15509,17.941798941798943,17.941798941798943,82.05820105820106
23,left_crosswalk,7.7813982963562,1.34874546527863,18900,3122,3122,15778,16.51851851851852,16.51851851851852,83.48148148148148
24,left_crosswalk,7.50971746444702,1.34738731384277,18900,2891,2891,16009,15.296296296296298,15.296296296296298,84.70370370370371
25,left_crosswalk,7.23803329467773,1.34595310688019,18900,2709,2709,16191,14.333333333333334,14.333333333333334,85.66666666666667
26,left_crosswalk,6.9663519859314,1.34443879127502,18900,2577,2577,16323,13.634920634920636,13.634920634920636,86.36507936507937
27,left_crosswalk,6.69468069076538,1.34283912181854,18900,2487,2487,16413,13.158730158730158,13.158730158730158,86.84126984126983
28,left_crosswalk,6.42302322387695,1.34114944934845,18900,2444,2444,16456,12.931216931216932,12.931216931216932,87.06878306878308
29,left_crosswalk,6.15136003494263,1.33936309814453,18900,2412,2412,16488,12.761904761904763,12.761904761904763,87.23809523809524
30,left_crosswalk,5.87973546981812,1.33747363090515,18900,2371,2371,16529,12.544973544973544,12.544973544973544,87.45502645502646
31,left_crosswalk,5.60808277130127,1.33547258377075,18900,2313,2313,16587,12.238095238095239,12.238095238095239,87.76190476190476
32,left_crosswalk,5.33648824691772,1.33335220813751,18900,2240,2240,16660,11.851851851851853,11.851851851851853,88.14814814814815
33,left_crosswalk,5.06487417221069,1.33110058307648,18900,2140,2140,16760,11.322751322751323,11.322751322751323,88.67724867724867
34,left_crosswalk,4.79328346252441,1.32870709896088,18900,2007,2007,16893,10.61904761904762,10.61904761904762,89.38095238095238
35,left_crosswalk,4.52179574966431,1.32615756988525,18900,1841,1841,17059,9.74074074074074,9.74074074074074,90.25925925925927
36,left_crosswalk,4.25743389129639,1.32350301742554,18900,1657,1657,17243,8.767195767195767,8.767195767195767,91.23280423280423
37,left_crosswalk,3.97842717170715,1.32051384449005,18900,1447,1447,17453,7.656084656084657,7.656084656084657,92.34391534391534
38,left_crosswalk,3.70711517333984,1.31738090515137,18900,1241,1241,17659,6.566137566137566,6.566137566137566,93.43386243386243
39,left_crosswalk,3.43543553352356,1.31407237052917,18900,1033,1033,17867,5.465608465608466,5.465608465608466,94.53439153439153
40,left_crosswalk,3.169593334198,1.30820512771606,18900,1005,1005,17895,5.317460317460317,5.317460317460317,94.68253968253968
41,left_crosswalk,2.90604209899902,1.29676616191864,18900,1056,1056,17844,5.587301587301587,5.587301587301587,94.41269841269842
