Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
0,left_crosswalk,14.0307292938232,1.36437737941742,2100,1510,1510,590,71.9047619047619,71.9047619047619,28.095238095238095
1,left_crosswalk,13.7619104385376,1.36425936222076,2100,1445,1445,655,68.80952380952381,68.80952380952381,31.19047619047619
2,left_crosswalk,13.4850454330444,1.36407291889191,2100,1386,1386,714,66.0,66.0,34.0
3,left_crosswalk,13.2165794372559,1.3638379573822,2100,1336,1336,764,63.61904761904762,63.61904761904762,36.38095238095238
4,left_crosswalk,12.9446268081665,1.3635481595993,2100,1297,1297,803,61.76190476190476,61.76190476190476,38.23809523809524
5,left_crosswalk,12.6728458404541,1.36321032047272,2100,1266,1266,834,60.285714285714285,60.285714285714285,39.714285714285715
6,left_crosswalk,12.4012203216553,1.36282587051392,2100,1241,1241,859,59.0952380952381,59.0952380952381,40.904761904761905
7,left_crosswalk,12.1293840408325,1.3623948097229,2100,1229,1229,871,58.523809523809526,58.523809523809526,41.476190476190474
8,left_crosswalk,11.8571815490723,1.36191785335541,2100,1225,1225,875,58.333333333333336,58.333333333333336,41.66666666666667
9,left_crosswalk,11.5859251022339,1.36139667034149,2100,1223,1223,877,58.238095238095234,58.238095238095234,41.76190476190476
10,left_crosswalk,11.0423936843872,1.36021375656128,2100,1226,1226,874,58.38095238095238,58.38095238095238,41.61904761904761
11,left_crosswalk,10.7703475952148,1.35955095291138,2100,1227,1227,873,58.42857142857143,58.42857142857143,41.57142857142857
12,left_crosswalk,10.4932889938354,1.35882759094238,2100,1229,1229,871,58.523809523809526,58.523809523809526,41.476190476190474
13,left_crosswalk,10.2268190383911,1.35808134078979,2100,1235,1235,865,58.80952380952381,58.80952380952381,41.19047619047619
15,left_crosswalk,9.95505809783936,1.35727107524872,2100,1236,1236,864,58.857142857142854,58.857142857142854,41.14285714285714
16,left_crosswalk,9.68338871002197,1.35640907287598,2100,1237,1237,863,58.904761904761905,58.904761904761905,41.095238095238095
17,left_crosswalk,9.41161918640137,1.35549259185791,2100,1240,1240,860,59.04761904761905,59.04761904761905,40.95238095238095
18,left_crosswalk,9.1399450302124,1.35452079772949,2100,1235,1235,865,58.80952380952381,58.80952380952381,41.19047619047619
19,left_crosswalk,8.86820411682129,1.35349118709564,2100,1228,1228,872,58.47619047619048,58.47619047619048,41.523809523809526
20,left_crosswalk,8.59651947021484,1.35240173339844,2100,1221,1221,879,58.14285714285714,58.14285714285714,41.85714285714286
21,left_crosswalk,8.32479000091553,1.35124945640564,2100,1209,1209,891,57.57142857142858,57.57142857142858,42.42857142857142
22,left_crosswalk,8.05310916900635,1.35003197193146,2100,1190,1190,910,56.666666666666664,56.666666666666664,43.333333333333336
23,left_crosswalk,7.7813982963562,1.34874546527863,2100,1171,1171,929,55.76190476190476,55.76190476190476,44.23809523809524
24,left_crosswalk,7.50971746444702,1.34738731384277,2100,1155,1155,945,55.00000000000001,55.00000000000001,45.0
25,left_crosswalk,7.23803329467773,1.34595310688019,2100,1144,1144,956,54.47619047619048,54.47619047619048,45.52380952380952
26,left_crosswalk,6.9663519859314,1.34443879127502,2100,1138,1138,962,54.19047619047619,54.19047619047619,45.80952380952381
27,left_crosswalk,6.69468069076538,1.34283912181854,2100,1124,1124,976,53.52380952380953,53.52380952380953,46.476190476190474
28,left_crosswalk,6.42302322387695,1.34114944934845,2100,1103,1103,997,52.523809523809526,52.523809523809526,47.476190476190474
29,left_crosswalk,6.15136003494263,1.33936309814453,2100,1078,1078,1022,51.33333333333333,51.33333333333333,48.66666666666667
30,left_crosswalk,5.87973546981812,1.33747363090515,2100,1039,1039,1061,49.476190476190474,49.476190476190474,50.523809523809526
31,left_crosswalk,5.60808277130127,1.33547258377075,2100,994,994,1106,47.333333333333336,47.333333333333336,52.666666666666664
32,left_crosswalk,5.33648824691772,1.33335220813751,2100,940,940,1160,44.761904761904766,44.761904761904766,55.23809523809524
33,left_crosswalk,5.06487417221069,1.33110058307648,2100,873,873,1227,41.57142857142857,41.57142857142857,58.42857142857143
34,left_crosswalk,4.79328346252441,1.32870709896088,2100,805,805,1295,38.333333333333336,38.333333333333336,61.66666666666667
35,left_crosswalk,4.52179574966431,1.32615756988525,2100,727,727,1373,34.61904761904762,34.61904761904762,65.38095238095238
36,left_crosswalk,4.25743389129639,1.32350301742554,2100,652,652,1448,31.047619047619047,31.047619047619047,68.95238095238095
37,left_crosswalk,3.97842717170715,1.32051384449005,2100,573,573,1527,27.285714285714285,27.285714285714285,72.71428571428571
38,left_crosswalk,3.70711517333984,1.31738090515137,2100,494,494,1606,23.523809523809526,23.523809523809526,76.47619047619048
39,left_crosswalk,3.43543553352356,1.31407237052917,2100,420,420,1680,20.0,20.0,80.0
40,left_crosswalk,3.169593334198,1.30820512771606,2100,397,397,1703,18.904761904761905,18.904761904761905,81.0952380952381
41,left_crosswalk,2.90604209899902,1.29676616191864,2100,404,404,1696,19.238095238095237,19.238095238095237,80.76190476190476
42,left_crosswalk,2.64408040046692,1.27930641174316,2100,413,413,1687,19.666666666666664,19.666666666666664,80.33333333333333
43,left_crosswalk,2.38375091552734,1.2551953792572,2100,433,433,1667,20.61904761904762,20.61904761904762,79.38095238095238
44,left_crosswalk,2.12507724761963,1.22367882728577,2100,457,457,1643,21.761904761904763,21.761904761904763,78.23809523809524
45,left_crosswalk,1.86913180351257,1.18405950069427,2100,494,494,1606,23.523809523809526,23.523809523809526,76.47619047619048
46,left_crosswalk,1.61641418933868,1.13548231124878,2100,538,538,1562,25.61904761904762,25.61904761904762,74.38095238095238
47,left_crosswalk,1.36763119697571,1.07702255249023,2100,591,591,1509,28.142857142857142,28.142857142857142,71.85714285714285
48,left_crosswalk,1.1237131357193,1.00770747661591,2100,654,654,1446,31.142857142857146,31.142857142857146,68.85714285714286
49,left_crosswalk,0.88582468032837,0.92655903100967,2100,726,726,1374,34.57142857142857,34.57142857142857,65.42857142857143
50,left_crosswalk,0.6553390622139,0.83264648914337,2100,781,781,1319,37.19047619047619,37.19047619047619,62.8095238095238
51,left_crosswalk,0.43377807736397,0.72514832019806,2100,812,812,1288,38.666666666666664,38.666666666666664,61.33333333333333
52,left_crosswalk,0.22270333766937,0.60340940952301,2100,814,814,1286,38.761904761904766,38.761904761904766,61.238095238095234
53,left_crosswalk,0.02342061698437,0.46684038639069,2100,888,888,1212,42.285714285714285,42.285714285714285,57.714285714285715
54,left_crosswalk,-0.16244506835938,0.31551772356033,2100,1028,1028,1072,48.952380952380956,48.952380952380956,51.04761904761905
55,left_crosswalk,-0.33396792411804,0.14955234527588,2100,1181,1181,919,56.23809523809524,56.23809523809524,43.761904761904766
56,left_crosswalk,-0.49043837189674,-0.03048342466354,2100,1279,1279,821,60.904761904761905,60.904761904761905,39.095238095238095
57,left_crosswalk,-0.63159763813019,-0.22375060617924,2100,1379,1379,721,65.66666666666666,65.66666666666666,34.333333333333336
58,left_crosswalk,-0.75754600763321,-0.42915672063828,2100,1521,1521,579,72.42857142857143,72.42857142857143,27.57142857142857
59,left_crosswalk,-0.86871218681335,-0.64544981718063,2100,1694,1694,406,80.66666666666666,80.66666666666666,19.333333333333332
60,left_crosswalk,-0.96570295095444,-0.8711017370224,2100,1785,1785,315,85.0,85.0,15.0
61,left_crosswalk,-1.04941761493683,-1.10488712787628,2100,1847,1847,253,87.95238095238095,87.95238095238095,12.047619047619047
62,left_crosswalk,-1.12079393863678,-1.34546864032745,2100,1880,1880,220,89.52380952380953,89.52380952380953,10.476190476190476
63,left_crosswalk,-1.18081367015839,-1.59155309200287,2100,1906,1906,194,90.76190476190476,90.76190476190476,9.238095238095239
64,left_crosswalk,-1.23048341274261,-1.84205114841461,2100,1915,1915,185,91.19047619047619,91.19047619047619,8.80952380952381
65,left_crosswalk,-1.27080202102661,-2.09622001647949,2100,1917,1917,183,91.28571428571428,91.28571428571428,8.714285714285715
66,left_crosswalk,-1.30268263816834,-2.35332226753235,2100,1900,1900,200,90.47619047619048,90.47619047619048,9.523809523809524
67,left_crosswalk,-1.32695960998535,-2.61256241798401,2100,1879,1879,221,89.47619047619048,89.47619047619048,10.523809523809524
68,left_crosswalk,-1.34442317485809,-2.87364888191223,2100,1861,1861,239,88.61904761904762,88.61904761904762,11.38095238095238
69,left_crosswalk,-1.35576891899109,-3.13629961013794,2100,1843,1843,257,87.76190476190476,87.76190476190476,12.238095238095239
70,left_crosswalk,-1.36161041259766,-3.40032458305359,2100,1822,1822,278,86.76190476190476,86.76190476190476,13.238095238095237
71,left_crosswalk,-1.36349678039551,-3.66778421401978,2100,1792,1792,308,85.33333333333334,85.33333333333334,14.666666666666666
72,left_crosswalk,-1.36504065990448,-3.93918061256409,2100,1749,1749,351,83.28571428571429,83.28571428571429,16.714285714285715
73,left_crosswalk,-1.3663295507431,-4.21067476272583,2100,1710,1710,390,81.42857142857143,81.42857142857143,18.571428571428573
74,left_crosswalk,-1.36735928058624,-4.48204469680786,2100,1665,1665,435,79.28571428571428,79.28571428571428,20.714285714285715
75,left_crosswalk,-1.3681492805481,-4.75355911254883,2100,1615,1615,485,76.90476190476191,76.90476190476191,23.095238095238095
76,left_crosswalk,-1.36871540546417,-5.0250301361084,2100,1565,1565,535,74.52380952380952,74.52380952380952,25.476190476190474
77,left_crosswalk,-1.36907136440277,-5.29655075073242,2100,1515,1515,585,72.14285714285714,72.14285714285714,27.857142857142858
78,left_crosswalk,-1.36923015117645,-5.56808280944824,2100,1495,1495,605,71.19047619047619,71.19047619047619,28.809523809523807
79,left_crosswalk,-1.36920356750488,-5.8396430015564,2100,1501,1501,599,71.47619047619047,71.47619047619047,28.523809523809522
80,left_crosswalk,-1.36900019645691,-6.11115837097168,2100,1507,1507,593,71.76190476190476,71.76190476190476,28.23809523809524
81,left_crosswalk,-1.36863017082214,-6.38279342651367,2100,1513,1513,587,72.04761904761905,72.04761904761905,27.95238095238095
82,left_crosswalk,-1.36810064315796,-6.65433502197266,2100,1519,1519,581,72.33333333333334,72.33333333333334,27.666666666666668
83,left_crosswalk,-1.36741900444031,-6.92595434188843,2100,1524,1524,576,72.57142857142857,72.57142857142857,27.42857142857143
84,left_crosswalk,-1.36659169197083,-7.19759130477905,2100,1542,1542,558,73.42857142857143,73.42857142857143,26.571428571428573
85,left_crosswalk,-1.36562490463257,-7.46905136108398,2100,1572,1572,528,74.85714285714286,74.85714285714286,25.142857142857146
86,left_crosswalk,-1.36452150344849,-7.74081373214722,2100,1612,1612,488,76.76190476190476,76.76190476190476,23.238095238095237
87,left_crosswalk,-1.36328887939453,-8.0124626159668,2100,1663,1663,437,79.19047619047619,79.19047619047619,20.809523809523807
88,left_crosswalk,-1.36192977428436,-8.28395652770996,2100,1716,1716,384,81.71428571428572,81.71428571428572,18.285714285714285
